
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"January","2011","Curved and level","Snowing, not including drifting snow",279,402,606,389,8
"January","2011","Curved and level","Freezing rain, sleet, hail",3,4,6,5,0
"January","2011","Curved and level","Visibility limitation",37,51,80,60,0
"January","2011","Curved and level","Strong wind",8,9,18,10,0
"January","2011","Curved and level","Other",0,0,0,0,0
"January","2011","Curved and level","Unknown",5,7,10,5,1
"January","2011","Curved with gradient","Clear and sunny",189,268,414,255,2
"January","2011","Curved with gradient","Overcast, cloudy but no precipitation",78,104,160,107,1
"January","2011","Curved with gradient","Raining",31,48,75,41,0
"January","2011","Curved with gradient","Snowing, not including drifting snow",156,221,348,222,1
"January","2011","Curved with gradient","Freezing rain, sleet, hail",3,5,8,5,0
"January","2011","Curved with gradient","Visibility limitation",18,25,37,23,0
"January","2011","Curved with gradient","Strong wind",2,2,2,2,0
"January","2011","Curved with gradient","Other",1,1,1,1,0
"January","2011","Curved with gradient","Unknown",0,0,0,0,0
"January","2011","Top of hill or gradient","Clear and sunny",69,117,163,99,1
"January","2011","Top of hill or gradient","Overcast, cloudy but no precipitation",44,78,101,69,0
"January","2011","Top of hill or gradient","Raining",7,8,14,8,0
"January","2011","Top of hill or gradient","Snowing, not including drifting snow",38,58,98,57,0
"January","2011","Top of hill or gradient","Freezing rain, sleet, hail",3,4,5,3,0
"January","2011","Top of hill or gradient","Visibility limitation",6,10,11,7,0
"January","2011","Top of hill or gradient","Strong wind",1,4,4,1,0
"January","2011","Top of hill or gradient","Other",0,0,0,0,0
"January","2011","Top of hill or gradient","Unknown",1,1,1,1,0
"January","2011","Bottom of hill or gradient","Clear and sunny",44,77,101,58,1
"January","2011","Bottom of hill or gradient","Overcast, cloudy but no precipitation",37,60,88,50,0
"January","2011","Bottom of hill or gradient","Raining",2,3,5,2,0
"January","2011","Bottom of hill or gradient","Snowing, not including drifting snow",50,71,106,69,0
"January","2011","Bottom of hill or gradient","Freezing rain, sleet, hail",1,1,2,2,0
"January","2011","Bottom of hill or gradient","Visibility limitation",2,3,3,2,0
"January","2011","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"January","2011","Bottom of hill or gradient","Other",0,0,0,0,0
"January","2011","Bottom of hill or gradient","Unknown",1,1,3,2,0
"January","2011","Other","Clear and sunny",9,14,16,10,0
"January","2011","Other","Overcast, cloudy but no precipitation",3,3,6,3,0
"January","2011","Other","Raining",0,0,0,0,0
"January","2011","Other","Snowing, not including drifting snow",7,8,12,9,0
"January","2011","Other","Freezing rain, sleet, hail",0,0,0,0,0
"January","2011","Other","Visibility limitation",1,1,2,2,0
"January","2011","Other","Strong wind",0,0,0,0,0
"January","2011","Other","Other",0,0,0,0,0
"January","2011","Other","Unknown",1,3,3,1,0
"January","2011","Unknown","Clear and sunny",329,606,889,432,1
"January","2011","Unknown","Overcast, cloudy but no precipitation",28,41,56,34,0
"January","2011","Unknown","Raining",25,44,72,38,0
"January","2011","Unknown","Snowing, not including drifting snow",166,321,480,207,4
"January","2011","Unknown","Freezing rain, sleet, hail",3,3,4,4,0
"January","2011","Unknown","Visibility limitation",7,11,13,10,0
"January","2011","Unknown","Strong wind",3,6,11,7,0
"January","2011","Unknown","Other",8,17,26,9,0
"January","2011","Unknown","Unknown",100,186,257,127,0
"January","2012","Straight and level","Clear and sunny",4401,8168,11831,5878,54
"January","2012","Straight and level","Overcast, cloudy but no precipitation",847,1515,2180,1149,7
"January","2012","Straight and level","Raining",520,900,1369,667,6
"January","2012","Straight and level","Snowing, not including drifting snow",1216,2166,3184,1667,6
"January","2012","Straight and level","Freezing rain, sleet, hail",103,169,234,128,3
"January","2012","Straight and level","Visibility limitation",155,253,377,211,3
"January","2012","Straight and level","Strong wind",48,84,122,67,1
"January","2012","Straight and level","Other",18,32,53,26,0
"January","2012","Straight and level","Unknown",56,85,120,67,1
"January","2012","Straight with gradient","Clear and sunny",433,767,1110,566,8
"January","2012","Straight with gradient","Overcast, cloudy but no precipitation",131,230,352,177,3
"January","2012","Straight with gradient","Raining",98,165,241,115,1
"January","2012","Straight with gradient","Snowing, not including drifting snow",204,333,500,290,5
"January","2012","Straight with gradient","Freezing rain, sleet, hail",27,42,63,37,0
"January","2012","Straight with gradient","Visibility limitation",21,36,60,28,1
"January","2012","Straight with gradient","Strong wind",3,4,6,3,0
"January","2012","Straight with gradient","Other",1,2,3,2,0
"January","2012","Straight with gradient","Unknown",4,5,5,4,0
"January","2012","Curved and level","Clear and sunny",385,591,867,517,11
"January","2012","Curved and level","Overcast, cloudy but no precipitation",137,185,254,178,5
"January","2012","Curved and level","Raining",42,65,103,59,2
"January","2012","Curved and level","Snowing, not including drifting snow",231,314,475,310,2
"January","2012","Curved and level","Freezing rain, sleet, hail",26,36,56,35,1
"January","2012","Curved and level","Visibility limitation",22,32,47,30,1
"January","2012","Curved and level","Strong wind",12,17,20,15,0
"January","2012","Curved and level","Other",1,1,1,1,0
"January","2012","Curved and level","Unknown",2,3,3,2,0
"January","2012","Curved with gradient","Clear and sunny",188,259,400,240,4
"January","2012","Curved with gradient","Overcast, cloudy but no precipitation",94,135,195,120,5
"January","2012","Curved with gradient","Raining",31,45,69,38,0
"January","2012","Curved with gradient","Snowing, not including drifting snow",135,194,324,203,4
"January","2012","Curved with gradient","Freezing rain, sleet, hail",18,27,40,18,1
"January","2012","Curved with gradient","Visibility limitation",16,20,31,20,0
"January","2012","Curved with gradient","Strong wind",1,2,2,1,0
"January","2012","Curved with gradient","Other",3,4,21,7,0
"January","2012","Curved with gradient","Unknown",3,4,7,3,0
"January","2012","Top of hill or gradient","Clear and sunny",66,108,163,93,1
"January","2012","Top of hill or gradient","Overcast, cloudy but no precipitation",19,33,47,28,0
"January","2012","Top of hill or gradient","Raining",9,17,20,10,0
"January","2012","Top of hill or gradient","Snowing, not including drifting snow",29,42,53,38,0
"January","2012","Top of hill or gradient","Freezing rain, sleet, hail",1,2,5,1,0
"January","2012","Top of hill or gradient","Visibility limitation",4,7,8,7,0
"January","2012","Top of hill or gradient","Strong wind",2,3,4,2,0
"January","2012","Top of hill or gradient","Other",0,0,0,0,0
"January","2012","Top of hill or gradient","Unknown",2,3,4,2,0
"January","2012","Bottom of hill or gradient","Clear and sunny",51,90,120,67,1
"January","2012","Bottom of hill or gradient","Overcast, cloudy but no precipitation",33,51,83,47,1
"January","2012","Bottom of hill or gradient","Raining",8,10,21,9,0
"January","2012","Bottom of hill or gradient","Snowing, not including drifting snow",27,36,51,39,1
"January","2012","Bottom of hill or gradient","Freezing rain, sleet, hail",4,8,13,9,0
"January","2012","Bottom of hill or gradient","Visibility limitation",12,16,24,16,0
"January","2012","Bottom of hill or gradient","Strong wind",2,3,4,4,0
"January","2012","Bottom of hill or gradient","Other",0,0,0,0,0
"January","2012","Bottom of hill or gradient","Unknown",1,1,1,1,0
"January","2012","Other","Clear and sunny",21,37,46,23,1
"January","2012","Other","Overcast, cloudy but no precipitation",5,6,7,5,0
"January","2012","Other","Raining",2,3,4,2,0
"January","2012","Other","Snowing, not including drifting snow",2,2,2,2,0
"January","2012","Other","Freezing rain, sleet, hail",0,0,0,0,0
"January","2012","Other","Visibility limitation",0,0,0,0,0
"January","2012","Other","Strong wind",0,0,0,0,0
"January","2012","Other","Other",0,0,0,0,0
"January","2012","Other","Unknown",4,6,12,7,0
"January","2012","Unknown","Clear and sunny",433,798,1119,540,6
"January","2012","Unknown","Overcast, cloudy but no precipitation",19,34,53,27,0
"January","2012","Unknown","Raining",16,27,36,21,0
"January","2012","Unknown","Snowing, not including drifting snow",60,111,165,79,2
"January","2012","Unknown","Freezing rain, sleet, hail",1,1,1,1,0
"January","2012","Unknown","Visibility limitation",5,6,8,6,0
"January","2012","Unknown","Strong wind",0,0,0,0,0
"January","2012","Unknown","Other",11,18,23,12,0
"January","2012","Unknown","Unknown",70,126,165,87,0
"January","2013","Straight and level","Clear and sunny",4328,8063,11466,5820,41
"January","2013","Straight and level","Overcast, cloudy but no precipitation",823,1497,2118,1095,12
"January","2013","Straight and level","Raining",439,737,1127,578,6
"January","2013","Straight and level","Snowing, not including drifting snow",1145,1986,2883,1554,11
"January","2013","Straight and level","Freezing rain, sleet, hail",73,118,166,97,1
"January","2013","Straight and level","Visibility limitation",284,597,951,432,10
"January","2013","Straight and level","Strong wind",85,142,211,113,2
"January","2013","Straight and level","Other",25,45,69,39,1
"January","2013","Straight and level","Unknown",55,94,133,66,0
"January","2013","Straight with gradient","Clear and sunny",490,922,1334,681,8
"January","2013","Straight with gradient","Overcast, cloudy but no precipitation",135,236,326,181,4
"January","2013","Straight with gradient","Raining",66,117,185,84,1
"January","2013","Straight with gradient","Snowing, not including drifting snow",170,376,549,253,1
"January","2013","Straight with gradient","Freezing rain, sleet, hail",18,26,42,25,0
"January","2013","Straight with gradient","Visibility limitation",34,70,130,53,0
"January","2013","Straight with gradient","Strong wind",6,12,15,8,0
"January","2013","Straight with gradient","Other",2,2,3,2,0
"January","2013","Straight with gradient","Unknown",8,11,15,9,0
"January","2013","Curved and level","Clear and sunny",413,629,887,556,3
"January","2013","Curved and level","Overcast, cloudy but no precipitation",94,142,191,103,4
"January","2013","Curved and level","Raining",46,64,98,65,1
"January","2013","Curved and level","Snowing, not including drifting snow",169,243,346,223,9
"January","2013","Curved and level","Freezing rain, sleet, hail",23,31,49,36,0
"January","2013","Curved and level","Visibility limitation",46,71,111,62,0
"January","2013","Curved and level","Strong wind",16,21,27,20,0
"January","2013","Curved and level","Other",0,0,0,0,0
"January","2013","Curved and level","Unknown",8,13,21,12,0
"January","2013","Curved with gradient","Clear and sunny",202,310,454,263,7
"January","2013","Curved with gradient","Overcast, cloudy but no precipitation",72,103,156,95,6
"January","2013","Curved with gradient","Raining",33,49,64,39,0
"January","2013","Curved with gradient","Snowing, not including drifting snow",95,134,193,122,4
"January","2013","Curved with gradient","Freezing rain, sleet, hail",12,15,19,12,0
"January","2013","Curved with gradient","Visibility limitation",19,26,40,27,0
"January","2013","Curved with gradient","Strong wind",7,8,13,10,0
"January","2013","Curved with gradient","Other",1,2,7,1,0
"January","2013","Curved with gradient","Unknown",4,6,10,5,0
"January","2013","Top of hill or gradient","Clear and sunny",62,108,152,81,1
"January","2013","Top of hill or gradient","Overcast, cloudy but no precipitation",27,45,58,34,0
"January","2013","Top of hill or gradient","Raining",4,5,6,4,0
"January","2013","Top of hill or gradient","Snowing, not including drifting snow",21,36,50,24,0
"January","2013","Top of hill or gradient","Freezing rain, sleet, hail",4,5,7,4,0
"January","2013","Top of hill or gradient","Visibility limitation",2,2,2,2,0
"January","2013","Top of hill or gradient","Strong wind",5,5,11,9,0
"January","2013","Top of hill or gradient","Other",1,1,2,2,0
"January","2013","Top of hill or gradient","Unknown",2,3,5,1,1
"January","2013","Bottom of hill or gradient","Clear and sunny",66,119,171,94,1
"January","2013","Bottom of hill or gradient","Overcast, cloudy but no precipitation",22,36,47,31,0
"January","2013","Bottom of hill or gradient","Raining",9,12,24,11,0
"January","2013","Bottom of hill or gradient","Snowing, not including drifting snow",31,47,62,35,0
"January","2013","Bottom of hill or gradient","Freezing rain, sleet, hail",4,6,13,8,0
"January","2013","Bottom of hill or gradient","Visibility limitation",5,7,14,8,0
"January","2013","Bottom of hill or gradient","Strong wind",4,5,10,6,0
"January","2013","Bottom of hill or gradient","Other",0,0,0,0,0
"January","2013","Bottom of hill or gradient","Unknown",2,2,4,2,0
"January","2013","Other","Clear and sunny",14,22,29,15,1
"January","2013","Other","Overcast, cloudy but no precipitation",6,13,15,9,0
"January","2013","Other","Raining",0,0,0,0,0
"January","2013","Other","Snowing, not including drifting snow",3,6,7,3,0
"January","2013","Other","Freezing rain, sleet, hail",0,0,0,0,0
"January","2013","Other","Visibility limitation",1,1,1,1,0
"January","2013","Other","Strong wind",0,0,0,0,0
"January","2013","Other","Other",0,0,0,0,0
"January","2013","Other","Unknown",4,7,11,7,0
"January","2013","Unknown","Clear and sunny",430,808,1152,537,7
"January","2013","Unknown","Overcast, cloudy but no precipitation",26,46,65,36,0
"January","2013","Unknown","Raining",14,25,34,20,0
"January","2013","Unknown","Snowing, not including drifting snow",127,224,308,155,0
"January","2013","Unknown","Freezing rain, sleet, hail",4,4,16,6,0
"January","2013","Unknown","Visibility limitation",14,21,30,19,1
"January","2013","Unknown","Strong wind",5,9,12,9,0
"January","2013","Unknown","Other",6,10,12,6,0
"January","2013","Unknown","Unknown",98,178,236,110,0
"January","2014","Straight and level","Clear and sunny",4844,9059,12638,6440,38
"January","2014","Straight and level","Overcast, cloudy but no precipitation",803,1420,2033,1095,7
"January","2014","Straight and level","Raining",283,465,724,385,4
"January","2014","Straight and level","Snowing, not including drifting snow",1165,2064,2964,1585,5
"January","2014","Straight and level","Freezing rain, sleet, hail",91,131,191,120,2
"January","2014","Straight and level","Visibility limitation",484,1012,1360,717,4
"January","2014","Straight and level","Strong wind",141,244,369,204,8
"January","2014","Straight and level","Other",22,39,55,29,0
"January","2014","Straight and level","Unknown",87,154,205,101,0
"January","2014","Straight with gradient","Clear and sunny",540,1003,1426,730,8
"January","2014","Straight with gradient","Overcast, cloudy but no precipitation",146,241,355,208,5
"January","2014","Straight with gradient","Raining",87,148,225,124,0
"January","2014","Straight with gradient","Snowing, not including drifting snow",179,361,487,238,1
"January","2014","Straight with gradient","Freezing rain, sleet, hail",32,69,95,49,0
"January","2014","Straight with gradient","Visibility limitation",68,122,172,99,4
"January","2014","Straight with gradient","Strong wind",9,14,19,13,0
"January","2014","Straight with gradient","Other",7,10,14,8,1
"January","2014","Straight with gradient","Unknown",3,6,7,4,0
"January","2014","Curved and level","Clear and sunny",451,738,991,582,11
"January","2014","Curved and level","Overcast, cloudy but no precipitation",99,143,186,137,2
"January","2014","Curved and level","Raining",29,43,61,36,0
"January","2014","Curved and level","Snowing, not including drifting snow",181,242,353,228,2
"January","2014","Curved and level","Freezing rain, sleet, hail",20,35,40,24,0
"January","2014","Curved and level","Visibility limitation",62,146,212,117,2
"January","2014","Curved and level","Strong wind",17,23,32,21,0
"January","2014","Curved and level","Other",1,1,2,2,0
"January","2014","Curved and level","Unknown",16,24,26,18,0
"January","2014","Curved with gradient","Clear and sunny",220,335,465,286,3
"January","2014","Curved with gradient","Overcast, cloudy but no precipitation",97,140,206,127,4
"January","2014","Curved with gradient","Raining",33,45,67,43,0
"January","2014","Curved with gradient","Snowing, not including drifting snow",79,120,173,97,6
"January","2014","Curved with gradient","Freezing rain, sleet, hail",9,16,18,10,0
"January","2014","Curved with gradient","Visibility limitation",35,52,83,50,0
"January","2014","Curved with gradient","Strong wind",5,8,8,7,0
"January","2014","Curved with gradient","Other",0,0,0,0,0
"January","2014","Curved with gradient","Unknown",2,2,2,2,0
"January","2014","Top of hill or gradient","Clear and sunny",72,137,183,85,0
"January","2014","Top of hill or gradient","Overcast, cloudy but no precipitation",27,49,62,37,0
"January","2014","Top of hill or gradient","Raining",6,11,16,11,0
"January","2014","Top of hill or gradient","Snowing, not including drifting snow",23,45,64,35,1
"January","2014","Top of hill or gradient","Freezing rain, sleet, hail",3,3,5,3,0
"January","2014","Top of hill or gradient","Visibility limitation",9,25,28,16,0
"January","2014","Top of hill or gradient","Strong wind",1,2,2,1,0
"January","2014","Top of hill or gradient","Other",0,0,0,0,0
"January","2014","Top of hill or gradient","Unknown",0,0,0,0,0
"January","2014","Bottom of hill or gradient","Clear and sunny",53,95,138,81,1
"January","2014","Bottom of hill or gradient","Overcast, cloudy but no precipitation",21,36,50,23,0
"January","2014","Bottom of hill or gradient","Raining",4,5,5,4,0
"January","2014","Bottom of hill or gradient","Snowing, not including drifting snow",20,34,43,28,1
"January","2014","Bottom of hill or gradient","Freezing rain, sleet, hail",3,5,5,3,0
"January","2014","Bottom of hill or gradient","Visibility limitation",10,20,33,20,0
"January","2014","Bottom of hill or gradient","Strong wind",1,1,1,1,0
"January","2014","Bottom of hill or gradient","Other",1,1,3,2,0
"January","2014","Bottom of hill or gradient","Unknown",0,0,0,0,0
"January","2014","Other","Clear and sunny",13,25,33,18,0
"January","2014","Other","Overcast, cloudy but no precipitation",3,5,6,3,0
"January","2014","Other","Raining",0,0,0,0,0
"January","2014","Other","Snowing, not including drifting snow",2,4,8,6,0
"January","2014","Other","Freezing rain, sleet, hail",0,0,0,0,0
"January","2014","Other","Visibility limitation",2,3,3,3,0
"January","2014","Other","Strong wind",1,1,1,1,0
"January","2014","Other","Other",0,0,0,0,0
"January","2014","Other","Unknown",7,12,16,8,0
"January","2014","Unknown","Clear and sunny",400,746,1061,493,4
"January","2014","Unknown","Overcast, cloudy but no precipitation",11,14,23,16,1
"January","2014","Unknown","Raining",13,19,28,17,0
"January","2014","Unknown","Snowing, not including drifting snow",63,107,151,77,1
"January","2014","Unknown","Freezing rain, sleet, hail",1,1,3,2,0
"January","2014","Unknown","Visibility limitation",6,7,9,6,1
"January","2014","Unknown","Strong wind",8,13,18,10,0
"January","2014","Unknown","Other",4,9,13,10,0
"January","2014","Unknown","Unknown",60,109,143,69,0
"January","2015","Straight and level","Clear and sunny",4843,9108,12947,6553,46
"January","2015","Straight and level","Overcast, cloudy but no precipitation",864,1561,2181,1163,13
"January","2015","Straight and level","Raining",281,471,730,362,5
"January","2015","Straight and level","Snowing, not including drifting snow",1097,1983,2992,1513,10
"January","2015","Straight and level","Freezing rain, sleet, hail",105,152,232,141,1
"January","2015","Straight and level","Visibility limitation",245,439,646,347,8
"January","2015","Straight and level","Strong wind",67,107,159,93,2
"January","2015","Straight and level","Other",19,36,55,29,1
"January","2015","Straight and level","Unknown",95,172,252,120,0
"January","2015","Straight with gradient","Clear and sunny",494,937,1310,680,8
"January","2015","Straight with gradient","Overcast, cloudy but no precipitation",117,216,304,167,2
"January","2015","Straight with gradient","Raining",91,171,263,125,2
"January","2015","Straight with gradient","Snowing, not including drifting snow",158,292,418,214,1
"January","2015","Straight with gradient","Freezing rain, sleet, hail",22,42,69,36,1
"January","2015","Straight with gradient","Visibility limitation",34,50,68,40,3
"January","2015","Straight with gradient","Strong wind",3,3,3,3,0
"January","2015","Straight with gradient","Other",1,2,4,1,0
"January","2015","Straight with gradient","Unknown",4,6,8,4,0
"January","2015","Curved and level","Clear and sunny",403,614,865,524,7
"January","2015","Curved and level","Overcast, cloudy but no precipitation",127,193,272,169,1
"January","2015","Curved and level","Raining",30,40,58,38,2
"January","2015","Curved and level","Snowing, not including drifting snow",217,309,466,278,6
"January","2015","Curved and level","Freezing rain, sleet, hail",15,25,39,15,1
"January","2015","Curved and level","Visibility limitation",50,65,86,68,0
"January","2015","Curved and level","Strong wind",11,19,22,11,0
"January","2015","Curved and level","Other",0,0,0,0,0
"January","2015","Curved and level","Unknown",14,23,26,17,0
"January","2015","Curved with gradient","Clear and sunny",193,302,415,261,1
"January","2015","Curved with gradient","Overcast, cloudy but no precipitation",96,131,192,123,4
"January","2015","Curved with gradient","Raining",37,54,87,52,1
"January","2015","Curved with gradient","Snowing, not including drifting snow",108,155,240,143,4
"January","2015","Curved with gradient","Freezing rain, sleet, hail",11,13,19,14,0
"January","2015","Curved with gradient","Visibility limitation",27,33,45,33,0
"January","2015","Curved with gradient","Strong wind",1,1,1,1,0
"January","2015","Curved with gradient","Other",0,0,0,0,0
"January","2015","Curved with gradient","Unknown",4,5,4,4,0
"January","2015","Top of hill or gradient","Clear and sunny",71,128,184,103,5
"January","2015","Top of hill or gradient","Overcast, cloudy but no precipitation",24,40,57,34,0
"January","2015","Top of hill or gradient","Raining",10,16,23,14,0
"January","2015","Top of hill or gradient","Snowing, not including drifting snow",33,45,61,44,0
"January","2015","Top of hill or gradient","Freezing rain, sleet, hail",1,2,3,3,0
"January","2015","Top of hill or gradient","Visibility limitation",8,14,19,15,0
"January","2015","Top of hill or gradient","Strong wind",2,3,3,2,0
"January","2015","Top of hill or gradient","Other",1,1,1,1,0
"January","2015","Top of hill or gradient","Unknown",2,4,6,4,0
"January","2015","Bottom of hill or gradient","Clear and sunny",63,92,137,78,1
"January","2015","Bottom of hill or gradient","Overcast, cloudy but no precipitation",22,36,52,35,0
"January","2015","Bottom of hill or gradient","Raining",4,4,5,5,0
"January","2015","Bottom of hill or gradient","Snowing, not including drifting snow",31,46,85,45,0
"January","2015","Bottom of hill or gradient","Freezing rain, sleet, hail",3,3,6,3,0
"January","2015","Bottom of hill or gradient","Visibility limitation",6,9,11,7,0
"January","2015","Bottom of hill or gradient","Strong wind",1,2,2,1,0
"January","2015","Bottom of hill or gradient","Other",0,0,0,0,0
"January","2015","Bottom of hill or gradient","Unknown",0,0,0,0,0
"January","2015","Other","Clear and sunny",8,14,39,15,1
"January","2015","Other","Overcast, cloudy but no precipitation",3,5,6,4,0
"January","2015","Other","Raining",0,0,0,0,0
"January","2015","Other","Snowing, not including drifting snow",3,5,7,3,0
"January","2015","Other","Freezing rain, sleet, hail",1,2,2,1,0
"January","2015","Other","Visibility limitation",3,7,9,5,0
"January","2015","Other","Strong wind",1,2,2,2,0
"January","2015","Other","Other",1,1,2,1,0
"January","2015","Other","Unknown",3,5,6,3,0
"January","2015","Unknown","Clear and sunny",391,717,1035,491,2
"January","2015","Unknown","Overcast, cloudy but no precipitation",19,40,56,21,0
"January","2015","Unknown","Raining",22,39,56,29,1
"January","2015","Unknown","Snowing, not including drifting snow",83,150,206,94,2
"January","2015","Unknown","Freezing rain, sleet, hail",6,10,14,7,0
"January","2015","Unknown","Visibility limitation",2,3,4,3,0
"January","2015","Unknown","Strong wind",1,1,1,1,0
"January","2015","Unknown","Other",4,8,10,4,0
"January","2015","Unknown","Unknown",67,117,172,81,1
"January","2016","Straight and level","Clear and sunny",4300,8059,11516,5788,47
