
,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"January","2011","Other","Visibility limitation",3,9,0
"January","2011","Other","Strong wind",23,35,0
"January","2011","Other","Other",21,25,1
"January","2011","Other","Unknown",23,27,0
"January","2011","Unknown","Clear and sunny",19,25,0
"January","2011","Unknown","Overcast, cloudy but no precipitation",6,7,0
"January","2011","Unknown","Raining",1,2,0
"January","2011","Unknown","Snowing, not including drifting snow",9,13,0
"January","2011","Unknown","Freezing rain, sleet, hail",2,2,0
"January","2011","Unknown","Visibility limitation",1,1,0
"January","2011","Unknown","Strong wind",0,0,0
"January","2011","Unknown","Other",3,5,0
"January","2011","Unknown","Unknown",74,90,0
"January","2012","Dry, normal","Clear and sunny",2906,3894,46
"January","2012","Dry, normal","Overcast, cloudy but no precipitation",266,358,4
"January","2012","Dry, normal","Raining",7,8,0
"January","2012","Dry, normal","Snowing, not including drifting snow",13,18,1
"January","2012","Dry, normal","Freezing rain, sleet, hail",1,1,0
"January","2012","Dry, normal","Visibility limitation",9,11,0
"January","2012","Dry, normal","Strong wind",13,16,0
"January","2012","Dry, normal","Other",6,10,0
"January","2012","Dry, normal","Unknown",22,28,1
"January","2012","Wet","Clear and sunny",1093,1512,13
"January","2012","Wet","Overcast, cloudy but no precipitation",374,517,5
"January","2012","Wet","Raining",585,755,5
"January","2012","Wet","Snowing, not including drifting snow",153,222,0
"January","2012","Wet","Freezing rain, sleet, hail",14,19,0
"January","2012","Wet","Visibility limitation",21,24,2
"January","2012","Wet","Strong wind",12,19,1
"January","2012","Wet","Other",5,6,0
"January","2012","Wet","Unknown",7,7,0
"January","2012","Snow (fresh, loose snow)","Clear and sunny",296,368,0
"January","2012","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",192,252,3
"January","2012","Snow (fresh, loose snow)","Raining",12,15,0
"January","2012","Snow (fresh, loose snow)","Snowing, not including drifting snow",832,1165,7
"January","2012","Snow (fresh, loose snow)","Freezing rain, sleet, hail",6,10,0
"January","2012","Snow (fresh, loose snow)","Visibility limitation",108,141,2
"January","2012","Snow (fresh, loose snow)","Strong wind",13,20,0
"January","2012","Snow (fresh, loose snow)","Other",1,1,0
"January","2012","Snow (fresh, loose snow)","Unknown",5,5,0
"January","2012","Slush, wet snow","Clear and sunny",161,209,3
"January","2012","Slush, wet snow","Overcast, cloudy but no precipitation",118,150,0
"January","2012","Slush, wet snow","Raining",43,52,2
"January","2012","Slush, wet snow","Snowing, not including drifting snow",227,287,2
"January","2012","Slush, wet snow","Freezing rain, sleet, hail",43,51,1
"January","2012","Slush, wet snow","Visibility limitation",10,17,0
"January","2012","Slush, wet snow","Strong wind",4,4,0
"January","2012","Slush, wet snow","Other",0,0,0
"January","2012","Slush, wet snow","Unknown",6,8,0
"January","2012","Icy","Clear and sunny",1051,1345,15
"January","2012","Icy","Overcast, cloudy but no precipitation",317,432,8
"January","2012","Icy","Raining",64,76,0
"January","2012","Icy","Snowing, not including drifting snow",557,781,7
"January","2012","Icy","Freezing rain, sleet, hail",110,142,4
"January","2012","Icy","Visibility limitation",80,119,0
"January","2012","Icy","Strong wind",26,33,0
"January","2012","Icy","Other",7,10,0
"January","2012","Icy","Unknown",40,49,0
"January","2012","Sand/gravel/dirt","Clear and sunny",7,8,0
"January","2012","Sand/gravel/dirt","Overcast, cloudy but no precipitation",6,7,0
"January","2012","Sand/gravel/dirt","Raining",0,0,0
"January","2012","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"January","2012","Sand/gravel/dirt","Freezing rain, sleet, hail",1,1,0
"January","2012","Sand/gravel/dirt","Visibility limitation",1,1,0
"January","2012","Sand/gravel/dirt","Strong wind",0,0,0
"January","2012","Sand/gravel/dirt","Other",0,0,0
"January","2012","Sand/gravel/dirt","Unknown",0,0,0
"January","2012","Muddy","Clear and sunny",5,8,0
"January","2012","Muddy","Overcast, cloudy but no precipitation",0,0,0
"January","2012","Muddy","Raining",0,0,0
"January","2012","Muddy","Snowing, not including drifting snow",0,0,0
"January","2012","Muddy","Freezing rain, sleet, hail",0,0,0
"January","2012","Muddy","Visibility limitation",0,0,0
"January","2012","Muddy","Strong wind",0,0,0
"January","2012","Muddy","Other",0,0,0
"January","2012","Muddy","Unknown",0,0,0
"January","2012","Oil","Clear and sunny",1,1,0
"January","2012","Oil","Overcast, cloudy but no precipitation",0,0,0
"January","2012","Oil","Raining",0,0,0
"January","2012","Oil","Snowing, not including drifting snow",0,0,0
"January","2012","Oil","Freezing rain, sleet, hail",0,0,0
"January","2012","Oil","Visibility limitation",0,0,0
"January","2012","Oil","Strong wind",0,0,0
"January","2012","Oil","Other",0,0,0
"January","2012","Oil","Unknown",0,0,0
"January","2012","Flooded","Clear and sunny",0,0,0
"January","2012","Flooded","Overcast, cloudy but no precipitation",0,0,0
"January","2012","Flooded","Raining",0,0,0
"January","2012","Flooded","Snowing, not including drifting snow",0,0,0
"January","2012","Flooded","Freezing rain, sleet, hail",0,0,0
"January","2012","Flooded","Visibility limitation",0,0,0
"January","2012","Flooded","Strong wind",0,0,0
"January","2012","Flooded","Other",0,0,0
"January","2012","Flooded","Unknown",0,0,0
"January","2012","Other","Clear and sunny",433,549,9
"January","2012","Other","Overcast, cloudy but no precipitation",2,3,1
"January","2012","Other","Raining",14,14,2
"January","2012","Other","Snowing, not including drifting snow",117,149,3
"January","2012","Other","Freezing rain, sleet, hail",4,4,0
"January","2012","Other","Visibility limitation",6,5,1
"January","2012","Other","Strong wind",0,0,0
"January","2012","Other","Other",14,20,0
"January","2012","Other","Unknown",14,20,0
"January","2012","Unknown","Clear and sunny",25,30,0
"January","2012","Unknown","Overcast, cloudy but no precipitation",10,12,0
"January","2012","Unknown","Raining",1,1,0
"January","2012","Unknown","Snowing, not including drifting snow",5,6,0
"January","2012","Unknown","Freezing rain, sleet, hail",1,1,0
"January","2012","Unknown","Visibility limitation",0,0,0
"January","2012","Unknown","Strong wind",0,0,0
"January","2012","Unknown","Other",1,1,0
"January","2012","Unknown","Unknown",48,56,0
"January","2013","Dry, normal","Clear and sunny",2655,3618,32
"January","2013","Dry, normal","Overcast, cloudy but no precipitation",272,359,10
"January","2013","Dry, normal","Raining",4,7,0
"January","2013","Dry, normal","Snowing, not including drifting snow",5,6,0
"January","2013","Dry, normal","Freezing rain, sleet, hail",0,0,0
"January","2013","Dry, normal","Visibility limitation",17,23,0
"January","2013","Dry, normal","Strong wind",16,19,0
"January","2013","Dry, normal","Other",5,7,0
"January","2013","Dry, normal","Unknown",5,6,0
"January","2013","Wet","Clear and sunny",945,1306,8
"January","2013","Wet","Overcast, cloudy but no precipitation",403,523,6
"January","2013","Wet","Raining",506,661,5
"January","2013","Wet","Snowing, not including drifting snow",134,173,0
"January","2013","Wet","Freezing rain, sleet, hail",16,25,0
"January","2013","Wet","Visibility limitation",93,116,6
"January","2013","Wet","Strong wind",14,26,0
"January","2013","Wet","Other",6,8,0
"January","2013","Wet","Unknown",11,16,0
"January","2013","Snow (fresh, loose snow)","Clear and sunny",398,527,1
"January","2013","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",139,189,6
"January","2013","Snow (fresh, loose snow)","Raining",7,9,0
"January","2013","Snow (fresh, loose snow)","Snowing, not including drifting snow",690,927,16
"January","2013","Snow (fresh, loose snow)","Freezing rain, sleet, hail",5,5,0
"January","2013","Snow (fresh, loose snow)","Visibility limitation",102,161,1
"January","2013","Snow (fresh, loose snow)","Strong wind",16,24,0
"January","2013","Snow (fresh, loose snow)","Other",0,0,0
"January","2013","Snow (fresh, loose snow)","Unknown",10,12,1
"January","2013","Slush, wet snow","Clear and sunny",156,207,2
"January","2013","Slush, wet snow","Overcast, cloudy but no precipitation",56,82,0
"January","2013","Slush, wet snow","Raining",26,36,0
"January","2013","Slush, wet snow","Snowing, not including drifting snow",145,186,0
"January","2013","Slush, wet snow","Freezing rain, sleet, hail",18,23,0
"January","2013","Slush, wet snow","Visibility limitation",10,13,0
"January","2013","Slush, wet snow","Strong wind",3,3,0
"January","2013","Slush, wet snow","Other",0,0,0
"January","2013","Slush, wet snow","Unknown",1,1,0
"January","2013","Icy","Clear and sunny",1245,1606,17
"January","2013","Icy","Overcast, cloudy but no precipitation",326,421,4
"January","2013","Icy","Raining",61,74,3
"January","2013","Icy","Snowing, not including drifting snow",460,654,6
"January","2013","Icy","Freezing rain, sleet, hail",96,132,1
"January","2013","Icy","Visibility limitation",172,278,3
"January","2013","Icy","Strong wind",65,86,2
"January","2013","Icy","Other",10,16,0
"January","2013","Icy","Unknown",80,87,0
"January","2013","Sand/gravel/dirt","Clear and sunny",7,10,0
"January","2013","Sand/gravel/dirt","Overcast, cloudy but no precipitation",1,1,0
"January","2013","Sand/gravel/dirt","Raining",0,0,0
"January","2013","Sand/gravel/dirt","Snowing, not including drifting snow",1,3,0
"January","2013","Sand/gravel/dirt","Freezing rain, sleet, hail",1,1,0
"January","2013","Sand/gravel/dirt","Visibility limitation",1,1,0
"January","2013","Sand/gravel/dirt","Strong wind",0,0,0
"January","2013","Sand/gravel/dirt","Other",0,0,0
"January","2013","Sand/gravel/dirt","Unknown",2,2,0
"January","2013","Muddy","Clear and sunny",2,4,0
"January","2013","Muddy","Overcast, cloudy but no precipitation",1,1,0
"January","2013","Muddy","Raining",1,3,0
"January","2013","Muddy","Snowing, not including drifting snow",0,0,0
"January","2013","Muddy","Freezing rain, sleet, hail",0,0,0
"January","2013","Muddy","Visibility limitation",0,0,0
"January","2013","Muddy","Strong wind",0,0,0
"January","2013","Muddy","Other",1,1,0
"January","2013","Muddy","Unknown",0,0,0
"January","2013","Oil","Clear and sunny",1,1,0
"January","2013","Oil","Overcast, cloudy but no precipitation",0,0,0
"January","2013","Oil","Raining",0,0,0
"January","2013","Oil","Snowing, not including drifting snow",0,0,0
"January","2013","Oil","Freezing rain, sleet, hail",0,0,0
"January","2013","Oil","Visibility limitation",0,0,0
"January","2013","Oil","Strong wind",0,0,0
"January","2013","Oil","Other",0,0,0
"January","2013","Oil","Unknown",0,0,0
"January","2013","Flooded","Clear and sunny",0,0,0
"January","2013","Flooded","Overcast, cloudy but no precipitation",0,0,0
"January","2013","Flooded","Raining",0,0,0
"January","2013","Flooded","Snowing, not including drifting snow",0,0,0
"January","2013","Flooded","Freezing rain, sleet, hail",0,0,0
"January","2013","Flooded","Visibility limitation",0,0,0
"January","2013","Flooded","Strong wind",0,0,0
"January","2013","Flooded","Other",0,0,0
"January","2013","Flooded","Unknown",0,0,0
"January","2013","Other","Clear and sunny",568,738,7
"January","2013","Other","Overcast, cloudy but no precipitation",1,1,0
"January","2013","Other","Raining",6,11,0
"January","2013","Other","Snowing, not including drifting snow",321,415,3
"January","2013","Other","Freezing rain, sleet, hail",2,2,0
"January","2013","Other","Visibility limitation",7,7,1
"January","2013","Other","Strong wind",13,16,0
"January","2013","Other","Other",10,15,1
"January","2013","Other","Unknown",18,20,0
"January","2013","Unknown","Clear and sunny",28,30,2
"January","2013","Unknown","Overcast, cloudy but no precipitation",6,7,0
"January","2013","Unknown","Raining",0,0,0
"January","2013","Unknown","Snowing, not including drifting snow",5,5,0
"January","2013","Unknown","Freezing rain, sleet, hail",0,0,0
"January","2013","Unknown","Visibility limitation",3,5,0
"January","2013","Unknown","Strong wind",1,1,0
"January","2013","Unknown","Other",3,3,0
"January","2013","Unknown","Unknown",54,68,0
"January","2014","Dry, normal","Clear and sunny",2464,3351,30
"January","2014","Dry, normal","Overcast, cloudy but no precipitation",273,358,3
"January","2014","Dry, normal","Raining",3,4,0
"January","2014","Dry, normal","Snowing, not including drifting snow",4,5,0
"January","2014","Dry, normal","Freezing rain, sleet, hail",0,0,0
"January","2014","Dry, normal","Visibility limitation",35,53,1
"January","2014","Dry, normal","Strong wind",18,27,1
"January","2014","Dry, normal","Other",2,3,0
"January","2014","Dry, normal","Unknown",9,9,0
"January","2014","Wet","Clear and sunny",1046,1406,12
"January","2014","Wet","Overcast, cloudy but no precipitation",354,485,5
"January","2014","Wet","Raining",319,451,4
"January","2014","Wet","Snowing, not including drifting snow",120,168,2
"January","2014","Wet","Freezing rain, sleet, hail",8,9,1
"January","2014","Wet","Visibility limitation",68,92,0
"January","2014","Wet","Strong wind",13,18,0
"January","2014","Wet","Other",6,8,0
"January","2014","Wet","Unknown",8,11,0
"January","2014","Snow (fresh, loose snow)","Clear and sunny",416,533,2
"January","2014","Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",135,178,0
"January","2014","Snow (fresh, loose snow)","Raining",4,5,0
"January","2014","Snow (fresh, loose snow)","Snowing, not including drifting snow",722,977,8
"January","2014","Snow (fresh, loose snow)","Freezing rain, sleet, hail",6,7,0
"January","2014","Snow (fresh, loose snow)","Visibility limitation",264,426,4
"January","2014","Snow (fresh, loose snow)","Strong wind",39,65,1
"January","2014","Snow (fresh, loose snow)","Other",3,4,0
"January","2014","Snow (fresh, loose snow)","Unknown",6,6,0
"January","2014","Slush, wet snow","Clear and sunny",187,238,1
"January","2014","Slush, wet snow","Overcast, cloudy but no precipitation",50,77,0
"January","2014","Slush, wet snow","Raining",20,28,0
"January","2014","Slush, wet snow","Snowing, not including drifting snow",122,165,0
"January","2014","Slush, wet snow","Freezing rain, sleet, hail",13,14,0
"January","2014","Slush, wet snow","Visibility limitation",13,17,1
"January","2014","Slush, wet snow","Strong wind",7,8,0
"January","2014","Slush, wet snow","Other",0,0,0
"January","2014","Slush, wet snow","Unknown",1,1,0
"January","2014","Icy","Clear and sunny",1907,2453,11
"January","2014","Icy","Overcast, cloudy but no precipitation",388,541,11
"January","2014","Icy","Raining",92,107,0
"January","2014","Icy","Snowing, not including drifting snow",562,743,5
"January","2014","Icy","Freezing rain, sleet, hail",126,174,1
"January","2014","Icy","Visibility limitation",286,430,5
"January","2014","Icy","Strong wind",80,106,3
"January","2014","Icy","Other",12,18,0
"January","2014","Icy","Unknown",67,77,0
"January","2014","Sand/gravel/dirt","Clear and sunny",11,13,1
"January","2014","Sand/gravel/dirt","Overcast, cloudy but no precipitation",2,2,0
"January","2014","Sand/gravel/dirt","Raining",0,0,0
"January","2014","Sand/gravel/dirt","Snowing, not including drifting snow",0,0,0
"January","2014","Sand/gravel/dirt","Freezing rain, sleet, hail",0,0,0
"January","2014","Sand/gravel/dirt","Visibility limitation",2,2,0
"January","2014","Sand/gravel/dirt","Strong wind",0,0,0
"January","2014","Sand/gravel/dirt","Other",0,0,0
"January","2014","Sand/gravel/dirt","Unknown",0,0,0
"January","2014","Muddy","Clear and sunny",2,4,0
"January","2014","Muddy","Overcast, cloudy but no precipitation",1,1,0
"January","2014","Muddy","Raining",1,2,0
"January","2014","Muddy","Snowing, not including drifting snow",0,0,0
"January","2014","Muddy","Freezing rain, sleet, hail",1,1,0
"January","2014","Muddy","Visibility limitation",1,1,0
"January","2014","Muddy","Strong wind",0,0,0
"January","2014","Muddy","Other",0,0,0
"January","2014","Muddy","Unknown",0,0,0
"January","2014","Oil","Clear and sunny",1,0,1
"January","2014","Oil","Overcast, cloudy but no precipitation",0,0,0
"January","2014","Oil","Raining",0,0,0
"January","2014","Oil","Snowing, not including drifting snow",0,0,0
"January","2014","Oil","Freezing rain, sleet, hail",0,0,0
"January","2014","Oil","Visibility limitation",0,0,0
"January","2014","Oil","Strong wind",0,0,0
"January","2014","Oil","Other",0,0,0
"January","2014","Oil","Unknown",0,0,0
"January","2014","Flooded","Clear and sunny",1,1,0
"January","2014","Flooded","Overcast, cloudy but no precipitation",0,0,0
"January","2014","Flooded","Raining",1,1,0
"January","2014","Flooded","Snowing, not including drifting snow",0,0,0
"January","2014","Flooded","Freezing rain, sleet, hail",0,0,0
"January","2014","Flooded","Visibility limitation",0,0,0
"January","2014","Flooded","Strong wind",0,0,0
"January","2014","Flooded","Other",0,0,0
"January","2014","Flooded","Unknown",0,0,0
"January","2014","Other","Clear and sunny",535,684,7
"January","2014","Other","Overcast, cloudy but no precipitation",1,1,0
"January","2014","Other","Raining",15,22,0
"January","2014","Other","Snowing, not including drifting snow",180,234,2
"January","2014","Other","Freezing rain, sleet, hail",5,6,0
"January","2014","Other","Visibility limitation",3,3,0
"January","2014","Other","Strong wind",26,34,3
"January","2014","Other","Other",12,18,1
"January","2014","Other","Unknown",20,23,0
"January","2014","Unknown","Clear and sunny",23,32,0
"January","2014","Unknown","Overcast, cloudy but no precipitation",3,3,0
"January","2014","Unknown","Raining",0,0,0
"January","2014","Unknown","Snowing, not including drifting snow",2,2,0
"January","2014","Unknown","Freezing rain, sleet, hail",0,0,0
"January","2014","Unknown","Visibility limitation",4,4,0
"January","2014","Unknown","Strong wind",0,0,0
"January","2014","Unknown","Other",0,0,0
"January","2014","Unknown","Unknown",64,75,0
"January","2015","Dry, normal","Clear and sunny",2946,4017,34
"January","2015","Dry, normal","Overcast, cloudy but no precipitation",282,385,6
"January","2015","Dry, normal","Raining",6,6,0
"January","2015","Dry, normal","Snowing, not including drifting snow",8,10,0
"January","2015","Dry, normal","Freezing rain, sleet, hail",0,0,0
"January","2015","Dry, normal","Visibility limitation",22,30,0
"January","2015","Dry, normal","Strong wind",5,8,0
"January","2015","Dry, normal","Other",5,5,0
"January","2015","Dry, normal","Unknown",9,11,0
"January","2015","Wet","Clear and sunny",994,1377,16
"January","2015","Wet","Overcast, cloudy but no precipitation",321,465,6
"January","2015","Wet","Raining",354,465,11
"January","2015","Wet","Snowing, not including drifting snow",114,156,2
"January","2015","Wet","Freezing rain, sleet, hail",10,12,0
"January","2015","Wet","Visibility limitation",45,58,0
"January","2015","Wet","Strong wind",7,11,0
"January","2015","Wet","Other",3,7,1
"January","2015","Wet","Unknown",10,18,0
