Month,Year,RoadSurface,Weather,NoofCollisions,NoofInjured,NoofFatalities,Season
January,2011,Wet,Visibility limitation,1,1,0,Winter
January,2011,Wet,Other,3,5,0,Winter
January,2011,Wet,Clear and sunny,74,90,0,Winter
January,2012,"Dry, normal",Clear and sunny,2906,3894,46,Winter
January,2012,"Dry, normal","Overcast, cloudy but no precipitation",266,358,4,Winter
January,2012,"Dry, normal",Raining,7,8,0,Winter
January,2012,"Dry, normal","Snowing, not including drifting snow",13,18,1,Winter
January,2012,"Dry, normal","Freezing rain, sleet, hail",1,1,0,Winter
January,2012,"Dry, normal",Visibility limitation,9,11,0,Winter
January,2012,"Dry, normal",Strong wind,13,16,0,Winter
January,2012,"Dry, normal",Other,6,10,0,Winter
January,2012,"Dry, normal",Clear and sunny,22,28,1,Winter
January,2012,Wet,Clear and sunny,1093,1512,13,Winter
January,2012,Wet,"Overcast, cloudy but no precipitation",374,517,5,Winter
January,2012,Wet,Raining,585,755,5,Winter
January,2012,Wet,"Snowing, not including drifting snow",153,222,0,Winter
January,2012,Wet,"Freezing rain, sleet, hail",14,19,0,Winter
January,2012,Wet,Visibility limitation,21,24,2,Winter
January,2012,Wet,Strong wind,12,19,1,Winter
January,2012,Wet,Other,5,6,0,Winter
January,2012,Wet,Clear and sunny,7,7,0,Winter
January,2012,"Snow (fresh, loose snow)",Clear and sunny,296,368,0,Winter
January,2012,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",192,252,3,Winter
January,2012,"Snow (fresh, loose snow)",Raining,12,15,0,Winter
January,2012,"Snow (fresh, loose snow)","Snowing, not including drifting snow",832,1165,7,Winter
January,2012,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",6,10,0,Winter
January,2012,"Snow (fresh, loose snow)",Visibility limitation,108,141,2,Winter
January,2012,"Snow (fresh, loose snow)",Strong wind,13,20,0,Winter
January,2012,"Snow (fresh, loose snow)",Other,1,1,0,Winter
January,2012,"Snow (fresh, loose snow)",Clear and sunny,5,5,0,Winter
January,2012,"Slush, wet snow",Clear and sunny,161,209,3,Winter
January,2012,"Slush, wet snow","Overcast, cloudy but no precipitation",118,150,0,Winter
January,2012,"Slush, wet snow",Raining,43,52,2,Winter
January,2012,"Slush, wet snow","Snowing, not including drifting snow",227,287,2,Winter
January,2012,"Slush, wet snow","Freezing rain, sleet, hail",43,51,1,Winter
January,2012,"Slush, wet snow",Visibility limitation,10,17,0,Winter
January,2012,"Slush, wet snow",Strong wind,4,4,0,Winter
January,2012,"Slush, wet snow",Clear and sunny,6,8,0,Winter
January,2012,Icy,Clear and sunny,1051,1345,15,Winter
January,2012,Icy,"Overcast, cloudy but no precipitation",317,432,8,Winter
January,2012,Icy,Raining,64,76,0,Winter
January,2012,Icy,"Snowing, not including drifting snow",557,781,7,Winter
January,2012,Icy,"Freezing rain, sleet, hail",110,142,4,Winter
January,2012,Icy,Visibility limitation,80,119,0,Winter
January,2012,Icy,Strong wind,26,33,0,Winter
January,2012,Icy,Other,7,10,0,Winter
January,2012,Icy,Clear and sunny,40,49,0,Winter
January,2012,Sand/gravel/dirt,Clear and sunny,7,8,0,Winter
January,2012,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",6,7,0,Winter
January,2012,Sand/gravel/dirt,"Freezing rain, sleet, hail",1,1,0,Winter
January,2012,Sand/gravel/dirt,Visibility limitation,1,1,0,Winter
January,2012,Muddy,Clear and sunny,5,8,0,Winter
January,2012,Oil,Clear and sunny,1,1,0,Winter
January,2012,Other,Clear and sunny,433,549,9,Winter
January,2012,Other,"Overcast, cloudy but no precipitation",2,3,1,Winter
January,2012,Other,Raining,14,14,2,Winter
January,2012,Other,"Snowing, not including drifting snow",117,149,3,Winter
January,2012,Other,"Freezing rain, sleet, hail",4,4,0,Winter
January,2012,Other,Visibility limitation,6,5,1,Winter
January,2012,Other,Other,14,20,0,Winter
January,2012,Other,Clear and sunny,14,20,0,Winter
January,2012,Wet,Clear and sunny,25,30,0,Winter
January,2012,Wet,"Overcast, cloudy but no precipitation",10,12,0,Winter
January,2012,Wet,Raining,1,1,0,Winter
January,2012,Wet,"Snowing, not including drifting snow",5,6,0,Winter
January,2012,Wet,"Freezing rain, sleet, hail",1,1,0,Winter
January,2012,Wet,Other,1,1,0,Winter
January,2012,Wet,Clear and sunny,48,56,0,Winter
January,2013,"Dry, normal",Clear and sunny,2655,3618,32,Winter
January,2013,"Dry, normal","Overcast, cloudy but no precipitation",272,359,10,Winter
January,2013,"Dry, normal",Raining,4,7,0,Winter
January,2013,"Dry, normal","Snowing, not including drifting snow",5,6,0,Winter
January,2013,"Dry, normal",Visibility limitation,17,23,0,Winter
January,2013,"Dry, normal",Strong wind,16,19,0,Winter
January,2013,"Dry, normal",Other,5,7,0,Winter
January,2013,"Dry, normal",Clear and sunny,5,6,0,Winter
January,2013,Wet,Clear and sunny,945,1306,8,Winter
January,2013,Wet,"Overcast, cloudy but no precipitation",403,523,6,Winter
January,2013,Wet,Raining,506,661,5,Winter
January,2013,Wet,"Snowing, not including drifting snow",134,173,0,Winter
January,2013,Wet,"Freezing rain, sleet, hail",16,25,0,Winter
January,2013,Wet,Visibility limitation,93,116,6,Winter
January,2013,Wet,Strong wind,14,26,0,Winter
January,2013,Wet,Other,6,8,0,Winter
January,2013,Wet,Clear and sunny,11,16,0,Winter
January,2013,"Snow (fresh, loose snow)",Clear and sunny,398,527,1,Winter
January,2013,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",139,189,6,Winter
January,2013,"Snow (fresh, loose snow)",Raining,7,9,0,Winter
January,2013,"Snow (fresh, loose snow)","Snowing, not including drifting snow",690,927,16,Winter
January,2013,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",5,5,0,Winter
January,2013,"Snow (fresh, loose snow)",Visibility limitation,102,161,1,Winter
January,2013,"Snow (fresh, loose snow)",Strong wind,16,24,0,Winter
January,2013,"Snow (fresh, loose snow)",Clear and sunny,10,12,1,Winter
January,2013,"Slush, wet snow",Clear and sunny,156,207,2,Winter
January,2013,"Slush, wet snow","Overcast, cloudy but no precipitation",56,82,0,Winter
January,2013,"Slush, wet snow",Raining,26,36,0,Winter
January,2013,"Slush, wet snow","Snowing, not including drifting snow",145,186,0,Winter
January,2013,"Slush, wet snow","Freezing rain, sleet, hail",18,23,0,Winter
January,2013,"Slush, wet snow",Visibility limitation,10,13,0,Winter
January,2013,"Slush, wet snow",Strong wind,3,3,0,Winter
January,2013,"Slush, wet snow",Clear and sunny,1,1,0,Winter
January,2013,Icy,Clear and sunny,1245,1606,17,Winter
January,2013,Icy,"Overcast, cloudy but no precipitation",326,421,4,Winter
January,2013,Icy,Raining,61,74,3,Winter
January,2013,Icy,"Snowing, not including drifting snow",460,654,6,Winter
January,2013,Icy,"Freezing rain, sleet, hail",96,132,1,Winter
January,2013,Icy,Visibility limitation,172,278,3,Winter
January,2013,Icy,Strong wind,65,86,2,Winter
January,2013,Icy,Other,10,16,0,Winter
January,2013,Icy,Clear and sunny,80,87,0,Winter
January,2013,Sand/gravel/dirt,Clear and sunny,7,10,0,Winter
January,2013,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",1,1,0,Winter
January,2013,Sand/gravel/dirt,"Snowing, not including drifting snow",1,3,0,Winter
January,2013,Sand/gravel/dirt,"Freezing rain, sleet, hail",1,1,0,Winter
January,2013,Sand/gravel/dirt,Visibility limitation,1,1,0,Winter
January,2013,Sand/gravel/dirt,Clear and sunny,2,2,0,Winter
January,2013,Muddy,Clear and sunny,2,4,0,Winter
January,2013,Muddy,"Overcast, cloudy but no precipitation",1,1,0,Winter
January,2013,Muddy,Raining,1,3,0,Winter
January,2013,Muddy,Other,1,1,0,Winter
January,2013,Oil,Clear and sunny,1,1,0,Winter
January,2013,Other,Clear and sunny,568,738,7,Winter
January,2013,Other,"Overcast, cloudy but no precipitation",1,1,0,Winter
January,2013,Other,Raining,6,11,0,Winter
January,2013,Other,"Snowing, not including drifting snow",321,415,3,Winter
January,2013,Other,"Freezing rain, sleet, hail",2,2,0,Winter
January,2013,Other,Visibility limitation,7,7,1,Winter
January,2013,Other,Strong wind,13,16,0,Winter
January,2013,Other,Other,10,15,1,Winter
January,2013,Other,Clear and sunny,18,20,0,Winter
January,2013,Wet,Clear and sunny,28,30,2,Winter
January,2013,Wet,"Overcast, cloudy but no precipitation",6,7,0,Winter
January,2013,Wet,"Snowing, not including drifting snow",5,5,0,Winter
January,2013,Wet,Visibility limitation,3,5,0,Winter
January,2013,Wet,Strong wind,1,1,0,Winter
January,2013,Wet,Other,3,3,0,Winter
January,2013,Wet,Clear and sunny,54,68,0,Winter
January,2014,"Dry, normal",Clear and sunny,2464,3351,30,Winter
January,2014,"Dry, normal","Overcast, cloudy but no precipitation",273,358,3,Winter
January,2014,"Dry, normal",Raining,3,4,0,Winter
January,2014,"Dry, normal","Snowing, not including drifting snow",4,5,0,Winter
January,2014,"Dry, normal",Visibility limitation,35,53,1,Winter
January,2014,"Dry, normal",Strong wind,18,27,1,Winter
January,2014,"Dry, normal",Other,2,3,0,Winter
January,2014,"Dry, normal",Clear and sunny,9,9,0,Winter
January,2014,Wet,Clear and sunny,1046,1406,12,Winter
January,2014,Wet,"Overcast, cloudy but no precipitation",354,485,5,Winter
January,2014,Wet,Raining,319,451,4,Winter
January,2014,Wet,"Snowing, not including drifting snow",120,168,2,Winter
January,2014,Wet,"Freezing rain, sleet, hail",8,9,1,Winter
January,2014,Wet,Visibility limitation,68,92,0,Winter
January,2014,Wet,Strong wind,13,18,0,Winter
January,2014,Wet,Other,6,8,0,Winter
January,2014,Wet,Clear and sunny,8,11,0,Winter
January,2014,"Snow (fresh, loose snow)",Clear and sunny,416,533,2,Winter
January,2014,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",135,178,0,Winter
January,2014,"Snow (fresh, loose snow)",Raining,4,5,0,Winter
January,2014,"Snow (fresh, loose snow)","Snowing, not including drifting snow",722,977,8,Winter
January,2014,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",6,7,0,Winter
January,2014,"Snow (fresh, loose snow)",Visibility limitation,264,426,4,Winter
January,2014,"Snow (fresh, loose snow)",Strong wind,39,65,1,Winter
January,2014,"Snow (fresh, loose snow)",Other,3,4,0,Winter
January,2014,"Snow (fresh, loose snow)",Clear and sunny,6,6,0,Winter
January,2014,"Slush, wet snow",Clear and sunny,187,238,1,Winter
January,2014,"Slush, wet snow","Overcast, cloudy but no precipitation",50,77,0,Winter
January,2014,"Slush, wet snow",Raining,20,28,0,Winter
January,2014,"Slush, wet snow","Snowing, not including drifting snow",122,165,0,Winter
January,2014,"Slush, wet snow","Freezing rain, sleet, hail",13,14,0,Winter
January,2014,"Slush, wet snow",Visibility limitation,13,17,1,Winter
January,2014,"Slush, wet snow",Strong wind,7,8,0,Winter
January,2014,"Slush, wet snow",Clear and sunny,1,1,0,Winter
January,2014,Icy,Clear and sunny,1907,2453,11,Winter
January,2014,Icy,"Overcast, cloudy but no precipitation",388,541,11,Winter
January,2014,Icy,Raining,92,107,0,Winter
January,2014,Icy,"Snowing, not including drifting snow",562,743,5,Winter
January,2014,Icy,"Freezing rain, sleet, hail",126,174,1,Winter
January,2014,Icy,Visibility limitation,286,430,5,Winter
January,2014,Icy,Strong wind,80,106,3,Winter
January,2014,Icy,Other,12,18,0,Winter
January,2014,Icy,Clear and sunny,67,77,0,Winter
January,2014,Sand/gravel/dirt,Clear and sunny,11,13,1,Winter
January,2014,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",2,2,0,Winter
January,2014,Sand/gravel/dirt,Visibility limitation,2,2,0,Winter
January,2014,Muddy,Clear and sunny,2,4,0,Winter
January,2014,Muddy,"Overcast, cloudy but no precipitation",1,1,0,Winter
January,2014,Muddy,Raining,1,2,0,Winter
January,2014,Muddy,"Freezing rain, sleet, hail",1,1,0,Winter
January,2014,Muddy,Visibility limitation,1,1,0,Winter
January,2014,Oil,Clear and sunny,1,0,1,Winter
January,2014,Flooded,Clear and sunny,1,1,0,Winter
January,2014,Flooded,Raining,1,1,0,Winter
January,2014,Other,Clear and sunny,535,684,7,Winter
January,2014,Other,"Overcast, cloudy but no precipitation",1,1,0,Winter
January,2014,Other,Raining,15,22,0,Winter
January,2014,Other,"Snowing, not including drifting snow",180,234,2,Winter
January,2014,Other,"Freezing rain, sleet, hail",5,6,0,Winter
January,2014,Other,Visibility limitation,3,3,0,Winter
January,2014,Other,Strong wind,26,34,3,Winter
January,2014,Other,Other,12,18,1,Winter
January,2014,Other,Clear and sunny,20,23,0,Winter
January,2014,Wet,Clear and sunny,23,32,0,Winter
January,2014,Wet,"Overcast, cloudy but no precipitation",3,3,0,Winter
January,2014,Wet,"Snowing, not including drifting snow",2,2,0,Winter
January,2014,Wet,Visibility limitation,4,4,0,Winter
January,2014,Wet,Clear and sunny,64,75,0,Winter
January,2015,"Dry, normal",Clear and sunny,2946,4017,34,Winter
January,2015,"Dry, normal","Overcast, cloudy but no precipitation",282,385,6,Winter
January,2015,"Dry, normal",Raining,6,6,0,Winter
January,2015,"Dry, normal","Snowing, not including drifting snow",8,10,0,Winter
January,2015,"Dry, normal",Visibility limitation,22,30,0,Winter
January,2015,"Dry, normal",Strong wind,5,8,0,Winter
January,2015,"Dry, normal",Other,5,5,0,Winter
January,2015,"Dry, normal",Clear and sunny,9,11,0,Winter
January,2015,Wet,Clear and sunny,994,1377,16,Winter
January,2015,Wet,"Overcast, cloudy but no precipitation",321,465,6,Winter
January,2015,Wet,Raining,354,465,11,Winter
January,2015,Wet,"Snowing, not including drifting snow",114,156,2,Winter
January,2015,Wet,"Freezing rain, sleet, hail",10,12,0,Winter
January,2015,Wet,Visibility limitation,45,58,0,Winter
January,2015,Wet,Strong wind,7,11,0,Winter
January,2015,Wet,Other,3,7,1,Winter
January,2015,Wet,Clear and sunny,10,18,0,Winter
January,2015,"Snow (fresh, loose snow)",Clear and sunny,373,483,2,Winter
January,2015,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",167,216,4,Winter
January,2015,"Snow (fresh, loose snow)",Raining,8,8,0,Winter
January,2015,"Snow (fresh, loose snow)","Snowing, not including drifting snow",778,1054,7,Winter
January,2015,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",8,9,0,Winter
January,2015,"Snow (fresh, loose snow)",Visibility limitation,123,173,5,Winter
January,2015,"Snow (fresh, loose snow)",Strong wind,8,10,0,Winter
January,2015,"Snow (fresh, loose snow)",Other,2,2,0,Winter
January,2015,"Snow (fresh, loose snow)",Clear and sunny,12,16,0,Winter
January,2015,"Slush, wet snow",Clear and sunny,176,245,0,Winter
January,2015,"Slush, wet snow","Overcast, cloudy but no precipitation",85,116,0,Winter
January,2015,"Slush, wet snow",Raining,24,31,0,Winter
January,2015,"Slush, wet snow","Snowing, not including drifting snow",161,206,0,Winter
January,2015,"Slush, wet snow","Freezing rain, sleet, hail",31,41,0,Winter
January,2015,"Slush, wet snow",Visibility limitation,10,15,0,Winter
January,2015,"Slush, wet snow",Strong wind,4,5,0,Winter
January,2015,"Slush, wet snow",Other,1,3,0,Winter
January,2015,"Slush, wet snow",Clear and sunny,4,4,0,Winter
January,2015,Icy,Clear and sunny,1360,1725,12,Winter
January,2015,Icy,"Overcast, cloudy but no precipitation",405,519,4,Winter
January,2015,Icy,Raining,61,84,0,Winter
January,2015,Icy,"Snowing, not including drifting snow",444,601,9,Winter
January,2015,Icy,"Freezing rain, sleet, hail",107,146,3,Winter
January,2015,Icy,Visibility limitation,162,222,6,Winter
January,2015,Icy,Strong wind,56,72,1,Winter
January,2015,Icy,Other,6,6,0,Winter
January,2015,Icy,Clear and sunny,63,77,0,Winter
January,2015,Sand/gravel/dirt,Clear and sunny,12,15,0,Winter
January,2015,Sand/gravel/dirt,"Overcast, cloudy but no precipitation",3,5,0,Winter
January,2015,Sand/gravel/dirt,Visibility limitation,1,1,0,Winter
January,2015,Sand/gravel/dirt,Strong wind,1,1,0,Winter
January,2015,Muddy,Clear and sunny,1,5,0,Winter
January,2015,Muddy,"Overcast, cloudy but no precipitation",1,1,0,Winter
January,2015,Flooded,Raining,2,4,0,Winter
January,2015,Other,Clear and sunny,577,803,7,Winter
January,2015,Other,"Overcast, cloudy but no precipitation",4,5,0,Winter
January,2015,Other,Raining,20,27,0,Winter
January,2015,Other,"Snowing, not including drifting snow",224,305,5,Winter
January,2015,Other,"Freezing rain, sleet, hail",8,12,0,Winter
January,2015,Other,Visibility limitation,11,18,0,Winter
January,2015,Other,Strong wind,6,7,1,Winter
January,2015,Other,Other,9,13,0,Winter
January,2015,Other,Clear and sunny,18,20,0,Winter
January,2015,Wet,Clear and sunny,27,35,0,Winter
January,2015,Wet,"Overcast, cloudy but no precipitation",4,4,0,Winter
January,2015,Wet,"Snowing, not including drifting snow",1,2,0,Winter
January,2015,Wet,Visibility limitation,1,1,0,Winter
January,2015,Wet,Clear and sunny,73,87,1,Winter
January,2016,"Dry, normal",Clear and sunny,2878,3870,41,Winter
January,2016,"Dry, normal","Overcast, cloudy but no precipitation",320,428,2,Winter
January,2016,"Dry, normal",Raining,7,13,0,Winter
January,2016,"Dry, normal","Snowing, not including drifting snow",16,23,0,Winter
January,2016,"Dry, normal","Freezing rain, sleet, hail",1,1,0,Winter
January,2016,"Dry, normal",Visibility limitation,19,27,0,Winter
January,2016,"Dry, normal",Strong wind,10,11,1,Winter
January,2016,"Dry, normal",Other,4,4,0,Winter
January,2016,"Dry, normal",Clear and sunny,14,15,1,Winter
January,2016,Wet,Clear and sunny,1060,1481,12,Winter
January,2016,Wet,"Overcast, cloudy but no precipitation",475,658,7,Winter
January,2016,Wet,Raining,606,835,10,Winter
January,2016,Wet,"Snowing, not including drifting snow",168,223,1,Winter
January,2016,Wet,"Freezing rain, sleet, hail",10,14,0,Winter
January,2016,Wet,Visibility limitation,46,60,1,Winter
January,2016,Wet,Strong wind,7,12,0,Winter
January,2016,Wet,Other,3,5,0,Winter
January,2016,Wet,Clear and sunny,8,11,0,Winter
January,2016,"Snow (fresh, loose snow)",Clear and sunny,319,403,1,Winter
January,2016,"Snow (fresh, loose snow)","Overcast, cloudy but no precipitation",158,203,2,Winter
January,2016,"Snow (fresh, loose snow)",Raining,5,9,0,Winter
January,2016,"Snow (fresh, loose snow)","Snowing, not including drifting snow",608,793,7,Winter
January,2016,"Snow (fresh, loose snow)","Freezing rain, sleet, hail",4,6,0,Winter
January,2016,"Snow (fresh, loose snow)",Visibility limitation,75,94,4,Winter
January,2016,"Snow (fresh, loose snow)",Strong wind,11,13,0,Winter
January,2016,"Snow (fresh, loose snow)",Other,1,1,0,Winter
January,2016,"Snow (fresh, loose snow)",Clear and sunny,11,11,0,Winter
January,2016,"Slush, wet snow",Clear and sunny,129,178,1,Winter
January,2016,"Slush, wet snow","Overcast, cloudy but no precipitation",80,105,0,Winter
January,2016,"Slush, wet snow",Raining,29,35,2,Winter
January,2016,"Slush, wet snow","Snowing, not including drifting snow",150,195,3,Winter
January,2016,"Slush, wet snow","Freezing rain, sleet, hail",9,11,0,Winter
January,2016,"Slush, wet snow",Visibility limitation,15,18,0,Winter
January,2016,"Slush, wet snow",Strong wind,5,7,0,Winter
January,2016,"Slush, wet snow",Other,1,2,0,Winter
January,2016,"Slush, wet snow",Clear and sunny,2,7,0,Winter
January,2016,Icy,Clear and sunny,949,1223,12,Winter
January,2016,Icy,"Overcast, cloudy but no precipitation",324,402,3,Winter
January,2016,Icy,Raining,31,41,0,Winter
January,2016,Icy,"Snowing, not including drifting snow",339,459,4,Winter
January,2016,Icy,"Freezing rain, sleet, hail",55,67,0,Winter
January,2016,Icy,Visibility limitation,114,149,3,Winter
January,2016,Icy,Strong wind,31,43,1,Winter
January,2016,Icy,Other,1,2,0,Winter
